cod_original_query;language;cod_noise_kind;text
23849;en;0;are naturalization records public information
42255;en;0;average salary for dental hygienist in nebraska
47210;en;0;average wedding dress alteration cost
67316;en;0;can fever cause miscarriage early pregnancy
118440;en;0;define bmt medical
121171;en;0;define etruscans
135802;en;0;definition of laudable
141630;en;0;describe how muscles and bones work together to produce movement
156498;en;0;do google docs auto save
169208;en;0;does mississippi have an income tax
174463;en;0;dog day afternoon meaning
258062;en;0;how long does it take to remove wisdom tooth
324585;en;0;how much money do motivational speakers make
330975;en;0;how much would it cost to install my own wind turbine
332593;en;0;how often to button quail lay eggs
336901;en;0;how old is vanessa redgrave
390360;en;0;ia suffix meaning
405163;en;0;is caffeine an narcotic
555530;en;0;what are best foods to lower cholesterol
583468;en;0;what carvedilol used for
640502;en;0;what does it mean if your tsh is low
673670;en;0;what is a alm
701453;en;0;what is a statutory deed
730539;en;0;what is chronometer who invented it
768208;en;0;what is mamey
877809;en;0;what metal are hip replacements made of
911232;en;0;what type of conflict does della face in o,  henry the gift of the magi
914916;en;0;what type of tissue are bronchioles
938400;en;0;when did family feud come out?
940547;en;0;when did rock n roll begin?
997622;en;0;where is the show shameless filmed
1030303;en;0;who is aziz hashim
1037496;en;0;who is rep scalise?
1043135;en;0;who killed nicholas ii of russia
1051399;en;0;who sings monk theme song
1064670;en;0;why do hunters pattern their shotguns?
1071750;en;0;why is pete rose banned from hall of fame
1105792;en;0;define: geon
1106979;en;0;define pareto chart in statistics
1108651;en;0;what the best way to get clothes white
1109707;en;0;what medium do radio waves travel through
1110678;en;0;what is the un fao
1113256;en;0;what is reba mcentire's net worth
1115210;en;0;what is chaff and flare
1116380;en;0;what is a nonconformity? earth science
1121353;en;0;what can you do about discrimination in the workplace in oklahoma city
1122767;en;0;what amino produces carnitine
1127540;en;0;meaning of shebang
1131069;en;0;how many sons robert kraft has
1132532;en;0;average annual income data analyst
1133579;en;0;how does granulation tissue start
1136043;en;0;difference between a hotel and motel
1136047;en;0;difference between a company's strategy and business model is
1136962;en;0;why did the ancient egyptians call their land kemet, or black land?
23849;en;1;naturalization are records public information
42255;en;1;salary average for dental hygienist in nebraska
47210;en;1;wedding average dress alteration cost
67316;en;1;fever can cause miscarriage early pregnancy
118440;en;1;bmt define medical
121171;en;1;etruscans define
135802;en;1;of definition laudable
141630;en;1;how describe muscles and bones work together to produce movement
156498;en;1;google do docs auto save
169208;en;1;mississippi does have an income tax
174463;en;1;day dog afternoon meaning
